CandidateID,Experience(Years),Skills,Education,Certifications,Projects,Domain,PreferredRole
1,13,"Payroll Processing, Taxation, HR Policies",BSc Information Technology,SHRM Certified,E-commerce System Design,DevOps,Compensation
2,5,"Payroll Processing, Taxation, HR Policies",BBA,Tableau Certification,"Customer Churn Analysis, Sales Forecasting",Software Development,Absences
3,5,"Python, Tableau, Data Visualization",BSc Computer Science,SHRM Certified,Recruitment Optimization Project,Human Resources,ORC
4,9,"Python, Tableau, Data Visualization",MSc Artificial Intelligence,Google Cloud AI Certification,Compensation Benchmarking,DevOps,ORC
5,4,"Leave Management, HR Analytics, Employee Engagement",BBA,Strategic HR Planning,Sales Data Analysis,DevOps,ORC
6,12,"Python, TensorFlow, Deep Learning",MBA Human Resources,Certified Payroll Professional,E-commerce System Design,DevOps,Compensation
7,3,"Python, TensorFlow, Deep Learning",MSc Artificial Intelligence,Certified Payroll Professional,Compensation Benchmarking,Software Development,Payroll
8,9,"Python, Tableau, Data Visualization",MBA Human Resources,Certified Compensation Analyst,Employee Retention Strategies,DevOps,Compensation
9,6,"Python, Tableau, Data Visualization",BSc Information Technology,Strategic HR Planning,"Customer Churn Analysis, Sales Forecasting",Data Science,Compensation
10,9,"Performance Management, Succession Planning",BSc Computer Science,People Analytics Certification,Employee Retention Strategies,Payroll,Payroll
11,5,"Python, Tableau, Data Visualization",BSc Computer Science,"Data Science Certification, AWS Certified",Cloud Infrastructure Design,Data Science,Core HR
12,6,"Python, TensorFlow, Deep Learning",BSc Computer Science,SHRM Certified,Sales Data Analysis,Payroll,Core HR
13,11,"Recruitment, Talent Acquisition, ATS",MSc Artificial Intelligence,SHRM Certified,E-commerce System Design,Payroll,Compensation
14,15,"Java, Spring Boot, Microservices, APIs",BSc Data Analytics,Tableau Certification,Cloud Infrastructure Design,Software Development,Payroll
15,2,"Payroll Processing, Taxation, HR Policies",BSc Information Technology,Certified Compensation Analyst,Absenteeism Analysis,Data Science,Core HR
16,10,"Python, Tableau, Data Visualization",BSc Computer Science,Google Cloud AI Certification,Sales Data Analysis,Human Resources,Absences
17,7,"Python, TensorFlow, Deep Learning",BBA,Oracle Certified Java Developer,Payroll Automation,Payroll,Compensation
18,13,"Python, SQL, Data Analysis, Machine Learning",MSc Artificial Intelligence,People Analytics Certification,Recruitment Optimization Project,Payroll,Absences
19,10,"Recruitment, Talent Acquisition, ATS",BBA,AWS Certified Solutions Architect,Cloud Infrastructure Design,Human Resources,Payroll
20,5,"Java, Spring Boot, Microservices, APIs",BSc Data Analytics,Oracle Certified Java Developer,Employee Retention Strategies,Payroll,Absences
21,11,"Cloud Computing, DevOps, Kubernetes",BSc Computer Science,Oracle Certified Java Developer,Sales Data Analysis,Software Development,Compensation
22,5,"Payroll Processing, Taxation, HR Policies",BSc Information Technology,"Data Science Certification, AWS Certified",Payroll Automation,DevOps,Compensation
23,7,"Performance Management, Succession Planning",BBA,Google Cloud AI Certification,Payroll Automation,Software Development,Core HR
24,4,"Cloud Computing, DevOps, Kubernetes",MSc Artificial Intelligence,Strategic HR Planning,"Customer Churn Analysis, Sales Forecasting",Payroll,Absences
25,13,"Compensation Analysis, HR Compliance",BBA,Certified Compensation Analyst,Compensation Benchmarking,Human Resources,Absences
26,9,"Leave Management, HR Analytics, Employee Engagement",BBA,Certified Compensation Analyst,"Customer Churn Analysis, Sales Forecasting",Data Science,ORC
27,11,"Cloud Computing, DevOps, Kubernetes",MSc Artificial Intelligence,SHRM Certified,Recruitment Optimization Project,Payroll,Absences
28,3,"Python, SQL, Data Analysis, Machine Learning",BSc Computer Science,Oracle Certified Java Developer,"Customer Churn Analysis, Sales Forecasting",Software Development,Payroll
29,4,"Payroll Processing, Taxation, HR Policies",BSc Data Analytics,Tableau Certification,E-commerce System Design,Software Development,Compensation
30,13,"Leave Management, HR Analytics, Employee Engagement",BSc Data Analytics,Certified Compensation Analyst,Compensation Benchmarking,DevOps,Payroll
31,5,"Compensation Analysis, HR Compliance",BSc Information Technology,Certified Payroll Professional,Cloud Infrastructure Design,Human Resources,Compensation
